State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
20, JHARKHAND,2018,11,7582,375401,90540809313,6111,196904,122000000000,21641,293515,106000000000
21, ODISHA,2018,11,10729,602931,127668081844,4621,178107,194000000000,26193,304371,144000000000
22, CHHATTISGARH,2018,11,4912,147018,47959132345,6679,144327,98894106202,19284,249947,97657752050
23, MADHYA PRADESH,2018,11,13977,266473,88326935072,16762,327665,177000000000,59187,661071,226000000000
24, GUJARAT,2018,11,90897,2201498,640870409282,105954,2525219,769000000000,103007,1102154,569000000000
25, DAMAN AND DIU,2018,11,1027,29331,9636132109,1624,150887,43032952799,2208,64875,47712838933
26, DADRA AND NAGAR HAVELI,2018,11,1124,44282,17376719974,1903,199069,82087851544,2761,93052,70359802937
27, MAHARASHTRA,2018,11,106440,3884223,1004147525970,92037,2466162,929000000000,165559,1937069,925000000000
29, KARNATAKA,2018,11,75762,2669837,497772560670,40345,1123642,412000000000,86379,1200177,474000000000
30, GOA,2018,11,1326,67316,11766935792,1398,53548,39309019353,6779,96945,33659698719
31, LAKSHADWEEP,2018,11,0,0,0,2,2,777819,33,379,37604695
32, KERALA,2018,11,29772,947083,150610776122,12321,148484,62519139899,46270,580634,150000000000
33, TAMIL NADU,2018,11,60072,2632498,566284894134,58389,1474762,567000000000,90584,1231764,594000000000
34, PUDUCHERRY,2018,11,770,24030,8240533237,1816,97426,27505645831,4186,72885,24918544058
35, ANDAMAN AND NICOBAR,2018,11,17,206,60859469,51,194,168920642,894,7687,1838205042
36, TELANGANA,2018,11,25770,1025932,214710495854,24905,482196,229000000000,49440,643000,259000000000
37, ANDHRA PRADESH,2018,11,29398,1106203,202886489099,18322,357570,255000000000,62611,717828,268000000000
97, Other Territory,2018,11,1,41,386144410,19,1852,8341277019,39,10604,14230499253
1, JAMMU AND KASHMIR,2018,12,4231,130554,22500537384,2256,29540,17941808602,16138,153341,43141157710
2, HIMACHAL PRADESH,2018,12,6642,217432,40069968033,4735,258915,105000000000,19386,266068,80093898324
3, PUNJAB,2018,12,51278,1183608,292995449345,46461,802121,221000000000,61918,740399,245000000000
4, CHANDIGARH,2018,12,2185,25195,4064275490,4876,70149,13411882691,7940,104139,22343132779
5, UTTARAKHAND,2018,12,9989,459029,77091767862,7161,315251,158000000000,21590,407325,125000000000
6, HARYANA,2018,12,57906,2267999,456578713249,51813,1924367,575000000000,85064,1429066,537000000000
7, DELHI,2018,12,53839,782708,300870928541,116773,1574415,384000000000,109211,1335376,435000000000
8, RAJASTHAN,2018,12,60073,1282999,285044016640,44844,1168298,296000000000,84116,963943,315000000000
9, UTTAR PRADESH,2018,12,99385,2802472,564217931199,66543,1186504,452000000000,156436,2008896,625000000000
10, BIHAR,2018,12,4663,224628,55245368506,6015,56305,23683798097,47885,513436,130000000000
11, SIKKIM,2018,12,106,3367,535768918,174,6516,20385962989,1448,24366,7386426576
12, ARUNACHAL PRADESH,2018,12,91,2430,369022719,191,1713,764999753,2138,21558,4082832591
13, NAGALAND,2018,12,53,541,145080852,231,4373,1032964820,2201,19532,4136555587
14, MANIPUR,2018,12,38,2769,460159800,84,575,96481855,2201,23695,5547978069
15, MIZORAM,2018,12,12,624,87766210,83,723,1292150649,1367,13655,3202091005
16, TRIPURA,2018,12,607,15179,2697502199,288,1854,1696954809,3538,31436,7997557046
17, MEGHALAYA,2018,12,256,7883,1407270955,344,25199,4478926019,2933,31029,6964622477
18, ASSAM,2018,12,9822,330902,62454208725,8096,137148,52695514053,21799,239839,82624744268
19, WEST BENGAL,2018,12,34472,1134796,343023507739,36356,619339,274000000000,54770,810016,332000000000
20, JHARKHAND,2018,12,7600,364755,87400343943,6041,191725,117000000000,21696,319951,110000000000
21, ODISHA,2018,12,11046,613478,124420238108,4946,189221,192000000000,26670,338890,148000000000
22, CHHATTISGARH,2018,12,5006,173706,53667225395,7306,166106,108000000000,21062,322074,107000000000
