State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
27,MAHARASHTRA,2022,1,"141,764","6,730,144","17,323,806.22","112,812","3,998,936","14,669,046.28","199,843","2,830,479","13,887,763.45"
29,KARNATAKA,2022,1,"102,127","4,177,176","7,591,191.96","50,865","2,020,756","6,561,863.54","111,536","1,776,298","6,980,802.94"
30,GOA,2022,1,"1,861","92,264","156,439.57","1,630","65,083","469,568.44","7,459","115,299","1,369,076.30"
31,LAKSHADWEEP,2022,1, -   , -   , -   ,2,2,3.58,52,428,996.12
32,KERALA,2022,1,"43,074","1,620,929","2,376,562.34","15,209","169,288","904,207.88","55,072","670,090","2,023,138.16"
33,TAMIL NADU,2022,1,"89,266","4,333,722","9,044,869.89","69,400","2,133,113","7,576,453.96","111,464","1,860,674","8,122,345.34"
34,PUDUCHERRY,2022,1,"1,025","37,742","155,385.57","1,882","100,714","345,892.58","5,345","102,294","333,075.70"
35,ANDAMAN AND NICOBAR,2022,1,37,883,"2,170.71",59,172,"2,307.51","1,009","10,231","23,608.11"
36,TELANGANA,2022,1,"44,229","2,079,534","3,916,854.67","32,675","715,059","3,313,645.62","62,882","1,225,267","4,150,680.65"
37,ANDHRA PRADESH,2022,1,"34,713","1,637,222","2,992,424.63","21,343","454,544","3,715,243.15","69,940","890,214","3,762,858.65"
38,LADAKH,2022,1,28,267,"1,335.36",9,17,48.76,214,886,"4,896.11"
97,Other Territory,2022,1,10,75,"2,752.03",26,"2,447","64,548.98",235,"11,126","223,848.35"
1,JAMMU AND KASHMIR,2021,12,"5,742","192,751","323,083.70","3,208","38,788","250,418.68","19,121","200,855","617,629.87"
2,HIMACHAL PRADESH,2021,12,"8,428","284,203","610,516.61","5,533","286,142","1,282,516.11","22,297","318,164","1,146,466.45"
3,PUNJAB,2021,12,"68,448","1,771,325","4,528,464.62","52,214","965,368","3,103,195.49","71,187","934,041","3,338,245.75"
