State Code,State Name,Year,Month,Intra_State_Supplies_No_Of_Suppliers,Intra_State_Supplies_No_Of_Eway_Bills,Intra_State_Supplies_Asset_Value_Rs_In_Cr,Inter_State_Outward_SuppliesNo_Of_Suppliers,Inter_State_Outward_SuppliesNo_Of_Eway_Bills,Inter_State_Outward_Supplies_Asset_Value_Rs_ In_Cr,Inter_State_Inward_SuppliesNo_Of_Suppliers,Inter_State_Inward_Supplies_No_Of_Eway_Bills,Inter_State_Inward_SuppliesAsset_Value_Rs_In_Cr
12,ARUNACHAL PRADESH,2020,11,111,"2,410","4,491.36",192,"1,339","8,193.68","2,745","28,849","52,584.76"
13,NAGALAND,2020,11,99,"1,204","5,173.05",236,"1,787","7,528.33","2,434","33,127","53,850.30"
14,MANIPUR,2020,11,49,"2,322","4,519.64",105,541,"1,899.31","2,491","41,856","63,599.28"
15,MIZORAM,2020,11,124,"2,103","5,978.09",124,756,"15,586.43","1,700","27,970","39,002.76"
16,TRIPURA,2020,11,"1,127","25,728","51,673.96",371,"2,262","25,460.22","3,924","35,553","78,963.21"
17,MEGHALAYA,2020,11,286,"11,023","19,595.66",389,"19,307","44,033.99","3,200","41,779","82,230.91"
18,ASSAM,2020,11,"10,749","416,380","755,249.18","8,914","197,043","621,316.78","23,417","273,342","871,804.93"
19,WEST BENGAL,2020,11,"37,160","1,509,845","3,760,735.82","35,876","680,723","2,730,631.93","57,889","980,354","3,391,617.43"
20,JHARKHAND,2020,11,"8,299","410,151","944,901.94","6,999","188,465","1,150,909.95","24,121","333,536","1,065,877.21"
21,ODISHA,2020,11,"12,900","732,619","1,455,805.56","5,276","234,205","1,912,495.34","30,352","366,290","1,346,777.23"
22,CHHATTISGARH,2020,11,"4,899","186,011","544,446.88","7,103","145,026","1,094,152.20","21,609","345,381","1,176,972.04"
23,MADHYA PRADESH,2020,11,"15,707","449,249","936,113.98","18,388","363,945","1,793,767.62","66,263","852,413","2,438,870.43"
24,GUJARAT,2020,11,"123,321","3,219,972","8,493,274.45","120,032","3,612,885","8,929,394.06","114,959","1,433,873","6,479,548.02"
25,DAMAN AND DIU,2020,11,0,0,0,2,18,20.86,24,122,433.23
26,DADRA AND NAGAR HAVELI,2020,11,"2,521","105,196","314,275.63","3,491","381,010","1,255,448.82","4,823","158,766","921,938.36"
